id,apelido,clube,posicao,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
52253,Réver,Flamengo,Zagueiro,1.4,Nulo,8,0,0,10,3,5,0,1,1,0,1,1,0,15,0,0,0,-0.5,4.9,3.6,5.5,-0.6,5.6,14.1,2.7,1.4,,,,9.55,8.98,9.02,9.92,8.61,9.78,12.1,10.58,10.31,,,
93882,Cleiton,Atlético-MG,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
36540,Juan,Flamengo,Zagueiro,-0.8,Suspenso,4,0,0,8,1,4,0,3,2,0,0,3,0,6,1,0,0,0,0,0,7.5,2.6,10.4,0,0.2,-0.8,,,,5,5,5,6.11,5.64,7.76,7.76,6.25,5.92,,,
37306,Gilson Kleina,Ponte Preta,Técnico,4.14,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,2.89,4.11,6.42,0.97,4.12,1.35,4.39,4.14,,,,9.72,11.22,11.73,12.84,11.74,12.25,11.63,12.18,12.26,,,
54395,Elias,Atlético-MG,Meia,-1.2,Nulo,7,0,0,9,0,9,0,1,2,0,1,1,0,24,0,2,0,9.6,0.8,3.8,0,-1.6,-1.1,4.5,0,-1.2,,,,16.69,15.35,15.31,15.31,13.21,12.59,13.34,12.39,11.85,,,
71724,Agenor,Sport,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,4,4,4,4,4,4,4,,,
51905,Leandro Salino,Vitória,Lateral,1.9,Provável,16,0,0,15,1,15,0,1,0,0,0,2,0,21,0,0,0,0,7.4,1.2,-0.4,0,8.2,0,5.8,1.9,,,,4,6.16,5.67,5.22,5.22,6.94,6.94,7,6.5,,,
94003,Scalon,Chapecoense,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,,,
36612,Zé Roberto,Palmeiras,Lateral,0,Nulo,4,0,0,3,1,6,0,1,0,0,0,0,0,6,0,0,0,5.1,0,0,0,0,0.6,-0.4,0,0,,,,9.27,9.27,9.27,9.27,9.27,7.75,7.28,7.28,7.28,,,
71719,Elton,Ponte Preta,Meia,0.5,Provável,7,0,1,14,0,12,0,0,1,0,0,3,0,21,0,1,0,3.4,2.9,0.7,4.6,-2.9,0,0.8,2.6,0.5,,,,5.94,6.6,6.16,7.24,5.55,5.55,5.66,6.01,5.64,,,
94004,Andrei Alba,Chapecoense,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,,,
93986,Salazar,Avaí,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
37281,Mano Menezes,Cruzeiro,Técnico,0.03,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,3.43,4.95,0.65,1.35,5.95,1.96,6.85,0.03,,,,12.31,12.07,12.55,11.71,11.38,12.29,11.57,12.59,11.41,,,
