id,apelido,clube,posicao,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
37623,Rafael Marques,Vasco,Zagueiro,-0.3,Provável,0,1,0,0,0,2,0,12,0,0,0,0,0,6,0,0,0,-1.2,-1.2,0,0,0,0,0,0,0,0,0,-0.3,4.1,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,1.67,1.59
37644,Rodrigo,Ponte Preta,Zagueiro,5.2,Suspenso,0,15,0,1,0,8,0,14,5,2,3,1,0,5,0,0,2,0,0,0,10.1,1.1,-0.3,0,4.7,8,-3.4,0,5.2,10,10,7.45,10.08,8.67,8.12,8.12,8.77,9.73,7.73,7.73,9.04
37646,Betão,Avaí,Zagueiro,10.1,Provável,0,13,0,0,0,10,0,30,1,1,5,0,0,7,0,0,3,4.3,-0.7,1,5,1.6,0.9,0.8,0,0.6,5,3.1,10.1,6.58,5.76,5.66,6.81,6.33,6.13,5.99,5.99,5.77,6.69,6.53,8.12
37662,Jonathan,Atlético-PR,Lateral,1,Provável,0,9,0,0,1,10,0,25,2,0,3,0,0,6,0,0,3,2.5,-0.4,0.4,5.8,0,-0.8,4.2,7.5,6.2,0,0,1,8.13,6.49,6,7.4,7.4,6.05,6.94,7.93,8.14,8.14,8.14,7.31
36540,Juan,Flamengo,Zagueiro,0,Nulo,0,4,0,0,1,8,0,6,3,2,1,0,0,4,0,0,3,0,0,0,7.5,2.6,10.4,0,0.2,-0.8,0,0,0,5,5,5,6.11,5.64,7.76,7.76,6.25,5.92,5.92,5.92,5.92
36612,Zé Roberto,Palmeiras,Lateral,-0.8,Nulo,0,4,0,0,0,4,0,9,0,0,2,0,0,12,0,0,1,5.1,0,0,0,0,0.6,-0.4,0,0,0,3.6,-0.8,9.27,9.27,9.27,9.27,9.27,7.75,7.28,7.28,7.28,7.28,7.56,6.79
37673,Alecsandro,Coritiba,Atacante,-2.8,Nulo,1,4,0,4,0,3,0,15,1,1,0,0,0,12,0,0,2,0,-3.3,0,0,0,2.6,-0.5,-0.1,-2.2,-4.9,0,-2.8,8,4.4,4.4,4.4,4.4,4.24,3.62,3.55,2.99,2.17,2.17,2.14
37653,Nilmar,Santos,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,,,,8
37645,Marcelo Mattos,Vasco,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
37281,Mano Menezes,Cruzeiro,Técnico,4.25,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,3.43,4.95,0.65,1.35,5.95,1.96,6.85,0.03,8.31,2.35,4.25,12.31,12.07,12.55,11.71,11.38,12.29,11.57,12.59,11.41,13.05,12.15,12.56
37306,Gilson Kleina,Ponte Preta,Técnico,1.4,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,2.89,4.11,6.42,0.97,4.12,1.35,4.39,4.14,1.05,3.57,1.4,9.72,11.22,11.73,12.84,11.74,12.25,11.63,12.18,12.26,11.74,12.14,11.78
37655,Rafael Moura,Atlético-MG,Atacante,-5.3,Nulo,1,15,2,9,0,2,1,8,5,3,0,0,0,16,0,0,1,-1,0.9,8.2,-0.3,0,0,5.5,9.8,0,-1.8,0.5,-5.3,4.95,3.72,6.06,4.9,4.68,4.68,5.69,7.08,7.08,5.27,5.54,4.29
37604,Paulo André,Atlético-PR,Zagueiro,-2.8,Nulo,0,6,0,0,0,8,0,15,0,0,0,0,0,6,0,0,2,0,-0.1,4.2,-0.4,0,-0.2,0,0,0,0,4.4,-2.8,6,4.34,5.29,4.48,4.48,4.08,4.08,4.08,4.08,4.08,4.65,3.37
37607,Michel Bastos,Palmeiras,Meia,-0.5,Nulo,0,4,0,2,0,6,0,26,8,2,0,0,0,4,0,0,2,0,3.8,-1.1,-0.7,2.3,-2.1,0,0,0,0,3.3,-0.5,8,7.51,6.15,5.71,6.08,5.01,5.01,5.01,5.01,5.01,5.39,4.75
37608,Cristian,Corinthians,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
38440,Pierre,Fluminense,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54
38394,Thiago Heleno,Atlético-PR,Zagueiro,0,Provável,0,5,1,0,0,8,0,17,2,0,3,0,0,8,0,0,2,0,1.1,8,2.5,0,1.1,8,0.8,3.8,2.1,0,0,9,7.06,8.98,8.53,8.53,7.89,9.39,8.28,8.85,8.65,8.65,8.65
38431,Diego Cavalieri,Fluminense,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,2,1,-6,0,0,0,0,0,0,0,0,0,7.78,6.71,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
38315,Jadson,Corinthians,Meia,5.9,Provável,0,4,3,3,1,5,0,61,6,3,0,0,0,10,0,0,1,0.6,-0.8,0.8,0.4,-2,5.5,6.8,0,-2.9,8.5,-2.9,5.9,15.99,11.5,10.47,9.88,8.67,9.93,10.48,10.48,8.56,10.68,8.67,10.21
38421,Rafinha,Cruzeiro,Meia,0,Contundido,0,14,0,0,0,7,0,19,1,0,0,0,0,8,0,0,0,2.6,0.5,0,1.1,-0.3,0,5.3,0,0.7,0,0,0,8.21,6.98,6.98,6.45,5.87,5.67,6.72,6.72,5.96,5.96,5.96,5.96
38508,Eder Luis,Vasco,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2.34,2.34
38425,Fábio Ferreira,Ponte Preta,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
38523,Edílson,Grêmio,Lateral,-3.4,Provável,1,4,1,1,0,9,0,17,1,1,4,0,0,13,0,0,3,0,0,0,4.5,-0.3,8.3,9.5,2.3,2,2.5,0,-3.4,12,12,12,10.54,9.32,11.08,11.89,10.86,10.77,10.88,10.88,9.53
38530,Cleiton Xavier,Vitória,Meia,3.9,Provável,0,5,0,1,3,6,0,26,7,4,0,0,0,10,0,0,0,1.2,-0.8,2,-1.4,0.2,5.7,2.2,8.1,0,0,2.2,3.9,7.92,5.78,5.87,4.92,4.83,6.05,5.63,7.06,7.06,7.06,6.3,6.73
