,id,posicao,apelido,clube,posicao.1,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
0,54395,0,Elias,Atlético-MG,Meia,0.0,Provável,0,0,0,0,0,1,4,0,0,0,0,3,1,1,0,1,6,<cartolafc.models.PontuacaoInfo object at 0x11c6e4080>,<cartolafc.models.PontuacaoInfo object at 0x11c6e40b8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4390>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4048>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4400>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4a90>,<cartolafc.models.PontuacaoInfo object at 0x11c6e40f0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4860>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4160>,<cartolafc.models.PontuacaoInfo object at 0x11c6e46d8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b38>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4470>
1,87877,1,Sornoza,Fluminense,Meia,0.0,Contundido,0,0,1,0,0,1,2,0,1,0,0,2,0,1,0,1,5,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e42e8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4c18>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4588>,<cartolafc.models.PontuacaoInfo object at 0x11c6e49b0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4c50>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4518>,<cartolafc.models.PontuacaoInfo object at 0x11c6e48d0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4be0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4ac8>
2,93414,2,Joel Carli,Botafogo,Zagueiro,3.8,Provável,0,0,0,0,0,0,4,0,1,0,2,1,0,5,0,0,4,<cartolafc.models.PontuacaoInfo object at 0x11c6e41d0>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4390>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4048>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4400>,<cartolafc.models.PontuacaoInfo object at 0x11c6e40b8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b00>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4940>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4ba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4780>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4b70>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4a20>,<cartolafc.models.PontuacaoInfo object at 0x11c6e4668>
3,68930,3,Kieza,Vitória,Atacante,8.0,Provável,0,0,0,0,0,1,1,0,0,0,0,10,3,6,0,2,3,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbdd8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc88>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf60>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf98>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe48>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe10>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe80>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf28>
4,63110,4,Alan Ruschel,Chapecoense,Lateral,0.0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11bd82eb8>,<cartolafc.models.PontuacaoInfo object at 0x11bc7dba8>,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbd68>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc50>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbcc0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbeb8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbba8>
5,75295,5,Paolo Guerrero,Flamengo,Atacante,9.4,Nulo,0,0,2,0,0,0,4,0,0,0,0,7,3,6,0,6,3,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf28>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe10>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf60>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf98>,<cartolafc.models.PontuacaoInfo object at 0x11bb1bc50>,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>
6,92081,6,Richarlison ,Fluminense,Atacante,18.4,Nulo,1,0,2,0,0,2,7,0,1,0,0,9,6,10,0,3,7,<cartolafc.models.PontuacaoInfo object at 0x11bd82eb8>,<cartolafc.models.PontuacaoInfo object at 0x11bc7dba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c625f98>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbd68>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc50>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbdd8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc88>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbcc0>
7,38100,7,Durval,Sport,Zagueiro,2.2,Provável,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,<cartolafc.models.PontuacaoInfo object at 0x11bc68780>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8da0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf86a0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe80>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbba8>
8,80583,8,Lucas Lima,Santos,Meia,0.0,Contundido,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,2,<cartolafc.models.PontuacaoInfo object at 0x11c62fc50>,<cartolafc.models.PontuacaoInfo object at 0x11c625da0>,<cartolafc.models.PontuacaoInfo object at 0x11c625390>,<cartolafc.models.PontuacaoInfo object at 0x11c625ef0>,<cartolafc.models.PontuacaoInfo object at 0x11c6256d8>,<cartolafc.models.PontuacaoInfo object at 0x11c6245f8>,<cartolafc.models.PontuacaoInfo object at 0x11c624b38>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe48>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbda0>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbeb8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbe10>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf98>
9,36612,9,Zé Roberto,Palmeiras,Lateral,0.0,Nulo,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,<cartolafc.models.PontuacaoInfo object at 0x11bbf8c88>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8668>,<cartolafc.models.PontuacaoInfo object at 0x11bbf8ef0>,<cartolafc.models.PontuacaoInfo object at 0x11bc680b8>,<cartolafc.models.PontuacaoInfo object at 0x11bc687f0>,<cartolafc.models.PontuacaoInfo object at 0x11bb1bc50>,<cartolafc.models.PontuacaoInfo object at 0x11c62f710>,<cartolafc.models.PontuacaoInfo object at 0x11c62f4e0>,<cartolafc.models.PontuacaoInfo object at 0x11c62fa90>,<cartolafc.models.PontuacaoInfo object at 0x11bc7dba8>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbc88>,<cartolafc.models.PontuacaoInfo object at 0x11c6fbf28>
